                   N             lambda1             lambda2             lambda3
                 176       9.86934527869       39.4742720472       88.8054540825
                 177       9.86934818172       39.4743184928       88.8056891884
                 178       9.86935103623       39.4743641621       88.8059203654
                 179       9.86935384329       39.4744090724       88.8061477007
                 180       9.86935660397       39.4744532404       88.8063712789
                 181       9.86935931926       39.4744966825       88.8065911822
                 182       9.86936199016       39.4745394143       88.8068074909
                 183       9.86936461763       39.4745814514       88.8070202828
                 184        9.8693672026       39.4746228087       88.8072296338
                 185       9.86936974601       39.4746635007       88.8074356176
                 186       9.86937224871       39.4747035418       88.8076383061
                 187       9.86937471159       39.4747429456       88.8078377691
                 188       9.86937713547       39.4747817256       88.8080340748
                 189       9.86937952119       39.4748198949       88.8082272895
                 190       9.86938186953       39.4748574664       88.8084174776
                 191       9.86938418128       39.4748944523       88.8086047021
                 192       9.86938645718       39.4749308649       88.8087890243
                 193       9.86938869799       39.4749667158       88.8089705037
                 194       9.86939090439       39.4750020166       88.8091491986
                 195       9.86939307713       39.4750367785       88.8093251657
                 196       9.86939521687       39.4750710125       88.8094984601
                 197       9.86939732425        39.475104729       88.8096691358
                 198       9.86939939995       39.4751379386       88.8098372452
                 199       9.86940144461       39.4751706513       88.8100028395
                 200        9.8694034588       39.4752028769       88.8101659686
                 201       9.86940544317       39.4752346252       88.8103266813
                 202       9.86940739828       39.4752659055        88.810485025
                 203        9.8694093247       39.4752967269        88.810641046
                 204       9.86941122302       39.4753270984       88.8107947896
                 205       9.86941309375       39.4753570287       88.8109462999
                 206       9.86941493744       39.4753865263       88.8110956198
                 207       9.86941675458       39.4754155994       88.8112427915
                 208       9.86941854571       39.4754442563       88.8113878559
                 209       9.86942031133       39.4754725048       88.8115308531
                 210        9.8694220519       39.4755003526       88.8116718222
                 211       9.86942376789       39.4755278073       88.8118108013
                 212       9.86942545976       39.4755548762       88.8119478277
                 213       9.86942712798       39.4755815666       88.8120829378
                 214       9.86942877299       39.4756078854       88.8122161673
                 215       9.86943039518       39.4756338395       88.8123475508
                 216       9.86943199502       39.4756594356       88.8124771222
                 217       9.86943357288       39.4756846804       88.8126049148
                 218       9.86943512918       39.4757095801        88.812730961
                 219        9.8694366643       39.4757341411       88.8128552923
                 220       9.86943817863       39.4757583694         88.81297794
                 221       9.86943967255       39.4757822711        88.813098934
                 222       9.86944114639       39.4758058519       88.8132183041
                 223       9.86944260058       39.4758291177       88.8133360793
                 224        9.8694440354       39.4758520739       88.8134522876
                 225       9.86944545122       39.4758747261        88.813566957
                 226       9.86944684836       39.4758970796       88.8136801143
                 227       9.86944822715       39.4759191396       88.8137917861
                 228       9.86944958795       39.4759409113       88.8139019983
                 229       9.86945093102       39.4759623996       88.8140107762
                 230       9.86945225668       39.4759836095       88.8141181445
                 231       9.86945356525       39.4760045457       88.8142241275
                 232       9.86945485699       39.4760252129        88.814328749
                 233       9.86945613222       39.4760456158       88.8144320321
                 234       9.86945739119       39.4760657587       88.8145339997
                 235        9.8694586342       39.4760856462       88.8146346738
                 236       9.86945986151       39.4761052824       88.8147340764
                 237       9.86946107338       39.4761246717       88.8148322288
                 238       9.86946227007        39.476143818       88.8149291517
                 239       9.86946345183       39.4761627256       88.8150248658
                 240       9.86946461891       39.4761813983       88.8151193909
                 241       9.86946577155         39.47619984       88.8152127467
                 242       9.86946691001       39.4762180545       88.8153049525
                 243       9.86946803448       39.4762360455        88.815396027
                 244       9.86946914523       39.4762538167       88.8154859886
                 245       9.86947024244       39.4762713716       88.8155748554
                 246       9.86947132635       39.4762887137       88.8156626452
                 247       9.86947239719       39.4763058465       88.8157493751
                 248       9.86947345515       39.4763227732       88.8158350623
                 249       9.86947450043       39.4763394973       88.8159197234
                 250       9.86947553324       39.4763560219       88.8160033747
                 251       9.86947655379       39.4763723501       88.8160860321
                 252       9.86947756226       39.4763884851       88.8161677115
                 253       9.86947855885         39.47640443        88.816248428
                 254       9.86947954372       39.4764201876       88.8163281969
                 255        9.8694805171       39.4764357609       88.8164070329
                 256       9.86948147911       39.4764511528       88.8164849505
                 257       9.86948242996       39.4764663661       88.8165619638
                 258       9.86948336984       39.4764814035       88.8166380869
                 259       9.86948429886       39.4764962677       88.8167133334
                 260       9.86948521726       39.4765109614       88.8167877167
                 261       9.86948612516       39.4765254872       88.8168612499
                 262       9.86948702272       39.4765398476        88.816933946
                 263       9.86948791007       39.4765540451       88.8170058177
                 264        9.8694887874       39.4765680823       88.8170768772
                 265       9.86948965487       39.4765819614       88.8171471369
                 266       9.86949051262       39.4765956848       88.8172166087
                 267       9.86949136076        39.476609255       88.8172853043
                 268        9.8694921995        39.476622674       88.8173532353
                 269       9.86949302891       39.4766359443       88.8174204129
                 270       9.86949384917       39.4766490679       88.8174868482
                 271       9.86949466038        39.476662047       88.8175525522
                 272       9.86949546268       39.4766748838       88.8176175356
                 273       9.86949625623       39.4766875803       88.8176818088
                 274       9.86949704116       39.4767001386       88.8177453821
                 275       9.86949781756       39.4767125605       88.8178082657
                 276       9.86949858555       39.4767248483       88.8178704695
                 277       9.86949934528       39.4767370036       88.8179320033
                 278       9.86950009686       39.4767490285       88.8179928767
                 279        9.8695008404       39.4767609247        88.818053099
                 280         9.869501576       39.4767726942       88.8181126796
                 281        9.8695023038       39.4767843388       88.8181716275
                 282       9.86950302389       39.4767958601       88.8182299516
                 283       9.86950373641       39.4768072599       88.8182876608
                 284       9.86950444142       39.4768185399       88.8183447636
                 285       9.86950513907       39.4768297018       88.8184012685
                 286       9.86950582941       39.4768407472       88.8184571838
                 287       9.86950651259       39.4768516778       88.8185125177
                 288       9.86950718871       39.4768624952       88.8185672782
                 289       9.86950785783       39.4768732008       88.8186214732
                 290       9.86950852006       39.4768837962       88.8186751106
                 291       9.86950917548        39.476894283       88.8187281977
                 292       9.86950982423       39.4769046626       88.8187807424
                 293       9.86951046635       39.4769149364       88.8188327517
                 294       9.86951110198       39.4769251059       88.8188842331
                 295       9.86951173114       39.4769351726       88.8189351936
                 296       9.86951235399       39.4769451377       88.8189856403
                 297       9.86951297056       39.4769550027       88.8190355799
                 298       9.86951358095       39.4769647689       88.8190850194
                 299       9.86951418527       39.4769744376       88.8191339654
                 300       9.86951478355       39.4769840101       88.8191824243
