                   N             lambda1             lambda2            lambda 3             CPUtime        # Iterations
                 202       9.86940742084       39.4752659957       88.8104852279            2950.489               61803
                 203       9.86940934729       39.4752968171       88.8106412489            3014.704               62567
                 204       9.86941124577       39.4753271884       88.8107949925            3052.925               62777
                 205       9.86941311636       39.4753571189       88.8109465028            3249.369               63646
                 206       9.86941495999       39.4753866165       88.8110958228            3176.747               64044
                 207       9.86941677715       39.4754156897       88.8112429944             3262.88               64718
                 208       9.86941856828       39.4754443465       88.8113880589            3399.035               65447
                 209       9.86942033389        39.475472595       88.8115310561            3383.427               65987
                 210       9.86942207448       39.4755004428       88.8116720251            3457.008               66562
                 211       9.86942379045       39.4755278975       88.8118110042            3515.542               67511
                 212       9.86942548234       39.4755549664       88.8119480307            3566.213               67918
                 213       9.86942715057       39.4755816568       88.8120831408            3627.135               68353
                 214       9.86942879555       39.4756079756       88.8122163702            3698.203               69183
                 215       9.86943041776       39.4756339298       88.8123477536            3754.134               69629
                 216       9.86943201757       39.4756595259       88.8124773251             3876.32               71063
                 217       9.86943359543       39.4756847707       88.8126051176            3949.536               71607
                 218       9.86943515181       39.4757096703       88.8127311639            3948.595               71479
                 219       9.86943668692       39.4757342313       88.8128554953            4053.138               72701
                 220       9.86943820122       39.4757584596       88.8129781429            4135.972               73178
                 221       9.86943969511       39.4757823613        88.813099137            4219.788               74067
                 222       9.86944116899       39.4758059421       88.8132185071            4277.861               74552
                 223       9.86944262323       39.4758292079       88.8133362822            4333.787               74984
                 224       9.86944405795       39.4758521641       88.8134524906             4452.68               75460
                 225       9.86944547379       39.4758748163       88.8135671599            4508.579               76741
                 226       9.86944687092       39.4758971698       88.8136803173            4549.627               76844
                 227       9.86944824972       39.4759192299       88.8137919891            4643.569               77624
                 228       9.86944961051       39.4759410015       88.8139022013            4761.225               78711
                 229       9.86945095376       39.4759624897       88.8140109791            4803.295               79204
                 230       9.86945227925       39.4759836997       88.8141183475            4918.369               80046
                 231        9.8694535878        39.476004636       88.8142243304            5001.151               80735
                 232       9.86945487964       39.4760253031        88.814328952            5095.276               81265
                 233       9.86945615478        39.476045706       88.8144322351            5098.911               81952
                 234       9.86945741376       39.4760658489       88.8145342026            5152.566               82994
                 235       9.86945865676       39.4760857364       88.8146348768            5168.972               83465
                 236       9.86945988408       39.4761053726       88.8147342794             5310.03               84249
                 237       9.86946109601       39.4761247618       88.8148324317            6220.149               84816
                 238       9.86946229263       39.4761439082       88.8149293547            5630.903               86183
                 239       9.86946347439       39.4761628158       88.8150250687            5660.719               86451
                 240       9.86946464148       39.4761814885       88.8151195939            5948.377               86888
                 241       9.86946579412       39.4761999302       88.8152129497            6008.023               88096
                 242       9.86946693261       39.4762181447       88.8153051554            5922.124               88512
                 243       9.86946805716       39.4762361356       88.8153962299             6020.68               89419
                 244       9.86946916778       39.4762539069       88.8154861916            6127.169               89707
                 245        9.8694702651       39.4762714617       88.8155750584            6232.498               91031
